date,day_of_week,day_of_month,month,month_name,year,quarter_num,quarter,fiscal_year,fiscal_quarter,is_weekend,is_holiday,holiday_name
2024-01-01,Monday,1,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-02,Tuesday,2,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-03,Wednesday,3,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-04,Thursday,4,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-05,Friday,5,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-06,Saturday,6,1,January,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-01-07,Sunday,7,1,January,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-01-08,Monday,8,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-09,Tuesday,9,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-10,Wednesday,10,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-11,Thursday,11,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-12,Friday,12,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-13,Saturday,13,1,January,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-01-14,Sunday,14,1,January,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-01-15,Monday,15,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-16,Tuesday,16,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-17,Wednesday,17,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-18,Thursday,18,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-19,Friday,19,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-20,Saturday,20,1,January,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-01-21,Sunday,21,1,January,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-01-22,Monday,22,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-23,Tuesday,23,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-24,Wednesday,24,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-25,Thursday,25,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-26,Friday,26,1,January,2024,1,2024Q1,2023,FY23Q4,False,1,Republic Day
2024-01-27,Saturday,27,1,January,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-01-28,Sunday,28,1,January,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-01-29,Monday,29,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-30,Tuesday,30,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-01-31,Wednesday,31,1,January,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-01,Thursday,1,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-02,Friday,2,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-03,Saturday,3,2,February,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-02-04,Sunday,4,2,February,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-02-05,Monday,5,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-06,Tuesday,6,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-07,Wednesday,7,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-08,Thursday,8,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-09,Friday,9,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-10,Saturday,10,2,February,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-02-11,Sunday,11,2,February,2024,1,2024Q1,2023,FY23Q4,True,0,
2024-02-12,Monday,12,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
2024-02-13,Tuesday,13,2,February,2024,1,2024Q1,2023,FY23Q4,False,0,
