category_id,category_name,parent_category_id,level,super_category_id,super_category_name,is_premium
CAT0001,Grocery & Staples,,1,CAT0001,Grocery & Staples,0
CAT0002,Personal Care & Beauty,,1,CAT0002,Personal Care & Beauty,0
CAT0003,Home & Kitchen,,1,CAT0003,Home & Kitchen,0
CAT0004,Electronics & Appliances,,1,CAT0004,Electronics & Appliances,0
CAT0005,Fashion & Apparel,,1,CAT0005,Fashion & Apparel,0
CAT0006,"Baby, Kids & Toys",,1,CAT0006,"Baby, Kids & Toys",0
CAT0007,Grocery & Staples / Spices,CAT0001,2,CAT0001,Grocery & Staples,0
CAT0008,Spices - Imported,CAT0007,3,CAT0001,Grocery & Staples,1
CAT0009,Spices - Family Pack,CAT0007,3,CAT0001,Grocery & Staples,0
CAT0010,Spices - Premium,CAT0007,3,CAT0001,Grocery & Staples,1
CAT0011,Spices - Mini,CAT0007,3,CAT0001,Grocery & Staples,0
CAT0012,Spices - Combo,CAT0007,3,CAT0001,Grocery & Staples,1
CAT0013,Spices - Combo,CAT0007,3,CAT0001,Grocery & Staples,0
CAT0014,Grocery & Staples / Atta & Rice,CAT0001,2,CAT0001,Grocery & Staples,0
CAT0015,Atta & Rice - Family Pack,CAT0014,3,CAT0001,Grocery & Staples,0
CAT0016,Atta & Rice - Refill,CAT0014,3,CAT0001,Grocery & Staples,0
CAT0017,Atta & Rice - Bulk,CAT0014,3,CAT0001,Grocery & Staples,1
CAT0018,Grocery & Staples / Dairy,CAT0001,2,CAT0001,Grocery & Staples,0
CAT0019,Dairy - Refill,CAT0018,3,CAT0001,Grocery & Staples,1
CAT0020,Dairy - Mini,CAT0018,3,CAT0001,Grocery & Staples,1
CAT0021,Dairy - Organic,CAT0018,3,CAT0001,Grocery & Staples,0
CAT0022,Dairy - Trial,CAT0018,3,CAT0001,Grocery & Staples,0
CAT0023,Dairy - Imported,CAT0018,3,CAT0001,Grocery & Staples,1
CAT0024,Dairy - Imported,CAT0018,3,CAT0001,Grocery & Staples,1
CAT0025,Personal Care & Beauty / Fragrances,CAT0002,2,CAT0002,Personal Care & Beauty,0
CAT0026,Fragrances - Mini,CAT0025,3,CAT0002,Personal Care & Beauty,0
CAT0027,Fragrances - Combo,CAT0025,3,CAT0002,Personal Care & Beauty,0
