store_id,product_id,snapshot_date,on_hand_units,is_in_stock,is_store_closed,days_since_last_replenishment
STR00001,SKU000862,2024-01-07,159,1,0,8
STR00001,SKU000528,2024-01-07,129,1,0,20
STR00001,SKU002933,2024-01-07,128,1,0,9
STR00001,SKU000360,2024-01-07,136,1,0,18
STR00001,SKU000014,2024-01-07,116,1,0,7
STR00001,SKU003152,2024-01-07,0,0,0,4
STR00001,SKU001055,2024-01-07,136,1,0,11
STR00001,SKU000256,2024-01-07,0,0,0,0
STR00001,SKU003671,2024-01-07,132,1,0,7
STR00001,SKU001695,2024-01-07,56,1,0,0
STR00001,SKU001309,2024-01-07,164,1,0,1
STR00001,SKU002960,2024-01-07,180,1,0,11
STR00001,SKU001018,2024-01-07,192,1,0,7
STR00001,SKU000499,2024-01-07,99,1,0,2
STR00001,SKU000268,2024-01-07,39,1,0,18
STR00001,SKU002439,2024-01-07,76,1,0,6
STR00001,SKU001731,2024-01-07,123,1,0,10
STR00001,SKU003864,2024-01-07,147,1,0,19
STR00001,SKU002271,2024-01-07,88,1,0,12
STR00001,SKU002316,2024-01-07,127,1,0,1
STR00001,SKU003880,2024-01-07,160,1,0,7
STR00001,SKU000914,2024-01-07,63,1,0,19
STR00001,SKU003187,2024-01-07,0,0,0,13
STR00001,SKU001159,2024-01-07,195,1,0,7
STR00001,SKU001054,2024-01-07,180,1,0,14
STR00001,SKU002199,2024-01-07,124,1,0,6
STR00001,SKU001646,2024-01-07,24,1,0,8
STR00001,SKU001263,2024-01-07,19,1,0,2
STR00001,SKU001544,2024-01-07,88,1,0,5
STR00001,SKU002701,2024-01-07,175,1,0,8
STR00001,SKU001106,2024-01-07,189,1,0,9
STR00001,SKU002697,2024-01-07,0,0,0,6
STR00001,SKU003884,2024-01-07,127,1,0,8
STR00001,SKU001783,2024-01-07,152,1,0,10
STR00001,SKU003104,2024-01-07,142,1,0,14
STR00001,SKU003386,2024-01-07,28,1,0,15
STR00001,SKU000461,2024-01-07,159,1,0,10
STR00001,SKU001425,2024-01-07,0,0,0,14
STR00001,SKU000674,2024-01-07,64,1,0,10
STR00001,SKU000523,2024-01-07,98,1,0,13
STR00001,SKU003068,2024-01-07,55,1,0,3
STR00001,SKU002611,2024-01-07,0,0,0,4
STR00001,SKU002027,2024-01-07,171,1,0,4
STR00001,SKU001174,2024-01-07,56,1,0,14
STR00001,SKU000067,2024-01-07,109,1,0,7
STR00001,SKU002729,2024-01-07,145,1,0,13
STR00001,SKU001221,2024-01-07,188,1,0,9
STR00001,SKU002116,2024-01-07,66,1,0,14
STR00001,SKU002210,2024-01-07,139,1,0,8
STR00001,SKU003436,2024-01-07,0,0,0,13
STR00001,SKU003262,2024-01-07,113,1,0,14
STR00001,SKU002056,2024-01-07,99,1,0,9
STR00001,SKU002174,2024-01-07,74,1,0,11
STR00001,SKU001202,2024-01-07,125,1,0,14
STR00001,SKU002336,2024-01-07,116,1,0,11
STR00001,SKU003573,2024-01-07,85,1,0,1
STR00001,SKU002836,2024-01-07,185,1,0,9
STR00001,SKU002470,2024-01-07,134,1,0,5
STR00001,SKU000870,2024-01-07,0,0,0,13
STR00001,SKU001407,2024-01-07,0,0,0,7
STR00001,SKU003345,2024-01-07,17,1,0,8
STR00001,SKU001843,2024-01-07,74,1,0,15
STR00001,SKU000783,2024-01-07,36,1,0,0
STR00001,SKU003664,2024-01-07,51,1,0,14
STR00001,SKU003487,2024-01-07,108,1,0,7
STR00001,SKU001438,2024-01-07,136,1,0,6
STR00001,SKU001332,2024-01-07,58,1,0,5
STR00001,SKU003139,2024-01-07,129,1,0,5
STR00001,SKU002430,2024-01-07,142,1,0,12
STR00001,SKU003540,2024-01-07,25,1,0,6
STR00001,SKU003754,2024-01-07,184,1,0,2
STR00001,SKU002639,2024-01-07,69,1,0,4
STR00001,SKU003745,2024-01-07,135,1,0,16
STR00001,SKU002160,2024-01-07,35,1,0,0
STR00001,SKU002691,2024-01-07,174,1,0,10
STR00001,SKU000228,2024-01-07,129,1,0,9
STR00001,SKU002945,2024-01-07,116,1,0,1
STR00001,SKU001252,2024-01-07,69,1,0,7
STR00001,SKU002695,2024-01-07,70,1,0,14
STR00001,SKU002606,2024-01-07,77,1,0,10
STR00001,SKU003029,2024-01-07,60,1,0,7
STR00001,SKU002096,2024-01-07,30,1,0,1
STR00001,SKU000202,2024-01-07,88,1,0,8
STR00001,SKU000738,2024-01-07,147,1,0,10
STR00001,SKU001349,2024-01-07,54,1,0,19
STR00001,SKU002222,2024-01-07,0,0,0,5
STR00001,SKU001563,2024-01-07,115,1,0,2
STR00001,SKU003099,2024-01-07,121,1,0,11
STR00001,SKU001107,2024-01-07,156,1,0,0
STR00001,SKU002650,2024-01-07,81,1,0,16
STR00001,SKU000118,2024-01-07,195,1,0,10
STR00001,SKU003643,2024-01-07,95,1,0,17
STR00001,SKU002052,2024-01-07,75,1,0,7
STR00001,SKU003339,2024-01-07,85,1,0,20
STR00001,SKU002982,2024-01-07,12,1,0,16
STR00001,SKU000610,2024-01-07,42,1,0,19
STR00001,SKU001630,2024-01-07,6,1,0,8
STR00001,SKU003878,2024-01-07,163,1,0,7
STR00001,SKU002901,2024-01-07,183,1,0,6
STR00001,SKU001069,2024-01-07,188,1,0,5
STR00001,SKU001850,2024-01-07,189,1,0,18
STR00001,SKU002380,2024-01-07,142,1,0,6
STR00001,SKU003616,2024-01-07,30,1,0,7
STR00001,SKU003298,2024-01-07,140,1,0,8
STR00001,SKU000892,2024-01-07,93,1,0,15
STR00001,SKU001225,2024-01-07,137,1,0,18
STR00001,SKU002369,2024-01-07,129,1,0,14
STR00001,SKU000510,2024-01-07,76,1,0,16
STR00001,SKU001758,2024-01-07,62,1,0,16
STR00001,SKU002353,2024-01-07,124,1,0,16
STR00001,SKU003699,2024-01-07,65,1,0,7
STR00001,SKU002389,2024-01-07,110,1,0,12
STR00001,SKU002173,2024-01-07,88,1,0,18
STR00001,SKU002300,2024-01-07,126,1,0,5
STR00001,SKU003775,2024-01-07,178,1,0,6
STR00001,SKU000487,2024-01-07,131,1,0,19
STR00001,SKU002220,2024-01-07,127,1,0,4
STR00001,SKU000845,2024-01-07,176,1,0,13
STR00001,SKU000861,2024-01-07,127,1,0,11
STR00001,SKU003392,2024-01-07,89,1,0,1
STR00001,SKU000945,2024-01-07,26,1,0,17
STR00001,SKU001819,2024-01-07,193,1,0,12
STR00001,SKU001108,2024-01-07,199,1,0,0
STR00001,SKU003465,2024-01-07,119,1,0,1
STR00001,SKU001884,2024-01-07,87,1,0,2
STR00001,SKU001273,2024-01-07,55,1,0,18
STR00001,SKU001185,2024-01-07,0,0,0,1
STR00001,SKU000297,2024-01-07,129,1,0,2
STR00001,SKU001335,2024-01-07,87,1,0,2
STR00001,SKU001105,2024-01-07,124,1,0,15
STR00001,SKU001395,2024-01-07,91,1,0,9
STR00001,SKU001322,2024-01-07,67,1,0,4
STR00001,SKU003208,2024-01-07,118,1,0,0
STR00001,SKU002415,2024-01-07,190,1,0,14
STR00001,SKU001547,2024-01-07,182,1,0,5
STR00001,SKU001979,2024-01-07,0,0,0,19
STR00001,SKU001606,2024-01-07,0,0,0,17
STR00001,SKU002724,2024-01-07,137,1,0,0
STR00001,SKU000835,2024-01-07,182,1,0,9
STR00001,SKU003036,2024-01-07,91,1,0,13
STR00001,SKU002414,2024-01-07,14,1,0,0
STR00001,SKU003186,2024-01-07,137,1,0,5
STR00001,SKU000209,2024-01-07,176,1,0,0
STR00001,SKU000517,2024-01-07,165,1,0,10
STR00001,SKU000735,2024-01-07,162,1,0,0
STR00001,SKU003156,2024-01-07,135,1,0,15
STR00001,SKU002586,2024-01-07,182,1,0,10
STR00001,SKU001857,2024-01-07,68,1,0,6
STR00001,SKU001770,2024-01-07,197,1,0,2
STR00001,SKU001573,2024-01-07,15,1,0,16
STR00001,SKU000282,2024-01-07,102,1,0,2
STR00001,SKU001372,2024-01-07,44,1,0,4
STR00001,SKU003857,2024-01-07,60,1,0,19
STR00001,SKU000547,2024-01-07,48,1,0,7
STR00001,SKU002126,2024-01-07,109,1,0,7
STR00001,SKU003407,2024-01-07,12,1,0,2
STR00001,SKU002418,2024-01-07,189,1,0,18
STR00001,SKU000089,2024-01-07,111,1,0,5
STR00001,SKU003195,2024-01-07,137,1,0,13
STR00001,SKU002683,2024-01-07,0,0,0,7
STR00001,SKU001591,2024-01-07,74,1,0,2
STR00001,SKU001898,2024-01-07,165,1,0,14
STR00001,SKU001793,2024-01-07,143,1,0,12
STR00001,SKU002808,2024-01-07,129,1,0,9
STR00001,SKU000495,2024-01-07,86,1,0,14
STR00001,SKU003652,2024-01-07,189,1,0,18
STR00001,SKU003823,2024-01-07,43,1,0,4
STR00001,SKU003157,2024-01-07,127,1,0,19
STR00001,SKU001013,2024-01-07,199,1,0,20
STR00001,SKU001268,2024-01-07,105,1,0,8
STR00001,SKU000163,2024-01-07,169,1,0,18
STR00001,SKU003446,2024-01-07,0,0,0,5
STR00001,SKU002004,2024-01-07,69,1,0,2
STR00001,SKU000032,2024-01-07,131,1,0,8
STR00001,SKU002078,2024-01-07,174,1,0,15
STR00001,SKU003296,2024-01-07,68,1,0,17
STR00001,SKU001932,2024-01-07,12,1,0,13
STR00001,SKU003019,2024-01-07,20,1,0,1
STR00001,SKU000193,2024-01-07,121,1,0,13
STR00001,SKU001338,2024-01-07,76,1,0,9
STR00001,SKU003811,2024-01-07,17,1,0,1
STR00001,SKU001772,2024-01-07,152,1,0,20
STR00001,SKU000341,2024-01-07,63,1,0,19
STR00001,SKU003985,2024-01-07,68,1,0,8
STR00001,SKU001626,2024-01-07,110,1,0,13
STR00001,SKU000326,2024-01-07,79,1,0,2
STR00001,SKU001374,2024-01-07,138,1,0,6
STR00001,SKU001260,2024-01-07,14,1,0,13
STR00001,SKU001417,2024-01-07,191,1,0,13
STR00001,SKU000096,2024-01-07,114,1,0,17
STR00001,SKU003491,2024-01-07,80,1,0,0
STR00001,SKU000235,2024-01-07,141,1,0,7
STR00001,SKU003130,2024-01-07,128,1,0,9
STR00001,SKU000954,2024-01-07,23,1,0,8
STR00001,SKU003194,2024-01-07,198,1,0,5
STR00001,SKU003230,2024-01-07,150,1,0,1
STR00001,SKU000082,2024-01-07,0,0,0,7
STR00001,SKU003597,2024-01-07,68,1,0,0
STR00001,SKU001301,2024-01-07,148,1,0,15
STR00001,SKU000937,2024-01-07,175,1,0,15
