order_item_id,order_id,product_id,store_id,quantity,unit_price,mrp_at_time,line_discount,line_total,is_cancelled,promo_id_applied
OIT0000000001,ORD000000001,SKU002981,STR00003,1,2563.72,2796.94,0.0,2563.72,0,
OIT0000000002,ORD000000001,SKU000702,STR00003,2,690.58,765.09,0.0,1381.16,0,
OIT0000000003,ORD000000001,SKU003746,STR00003,1,7264.06,7264.06,0.0,7264.06,0,
OIT0000000004,ORD000000001,SKU003993,STR00003,1,162.13,182.55,0.0,162.13,0,
OIT0000000005,ORD000000002,SKU003947,STR00003,1,7805.56,9000.33,0.0,7805.56,0,
OIT0000000006,ORD000000002,SKU000725,STR00003,2,1702.31,1978.28,0.0,3404.62,0,
OIT0000000007,ORD000000003,SKU000499,STR00003,1,3701.87,4123.99,0.0,3701.87,0,
OIT0000000008,ORD000000003,SKU002195,STR00003,2,422.92,492.67,0.0,845.84,0,
OIT0000000009,ORD000000004,SKU002029,STR00003,1,544.96,719.46,59.05,485.91,0,PRM01442
OIT0000000010,ORD000000004,SKU002728,STR00003,1,13306.5,13718.51,0.0,13306.5,0,
OIT0000000011,ORD000000005,SKU001485,STR00003,1,236.8,323.79,0.0,236.8,0,
OIT0000000012,ORD000000005,SKU002658,STR00003,1,173.12,186.99,0.0,173.12,0,
OIT0000000013,ORD000000006,SKU001534,STR00003,1,997.59,1393.46,0.0,997.59,0,
OIT0000000014,ORD000000006,SKU001346,STR00003,3,2473.27,3300.14,0.0,7419.81,0,
OIT0000000015,ORD000000006,SKU003535,STR00003,1,1490.8,1801.07,0.0,1490.8,1,
OIT0000000016,ORD000000007,SKU002934,STR00003,4,62778.46,71236.61,0.0,251113.84,0,
OIT0000000017,ORD000000008,SKU000004,STR00003,4,42199.98,43209.97,0.0,168799.92,0,
OIT0000000018,ORD000000008,SKU003148,STR00003,1,3517.15,4232.76,0.0,3517.15,0,
OIT0000000019,ORD000000008,SKU001640,STR00003,1,2819.98,3228.15,0.0,2819.98,0,
OIT0000000020,ORD000000009,SKU000094,STR00003,1,59093.1,65420.45,0.0,59093.1,0,
OIT0000000021,ORD000000010,SKU002235,STR00003,4,1903.36,2226.75,1265.94,6347.5,0,PRM01578
OIT0000000022,ORD000000010,SKU002318,STR00003,1,665.47,745.82,0.0,665.47,0,
OIT0000000023,ORD000000010,SKU001635,STR00003,2,1145.91,1208.65,0.0,2291.82,0,
OIT0000000024,ORD000000010,SKU001539,STR00003,1,145.73,168.33,0.0,145.73,0,
OIT0000000025,ORD000000011,SKU003400,STR00003,2,174.72,191.03,0.0,349.44,0,
OIT0000000026,ORD000000011,SKU003666,STR00003,4,731.0,892.96,0.0,2924.0,0,
OIT0000000027,ORD000000011,SKU003900,STR00003,4,4061.43,4061.43,0.0,16245.72,0,
OIT0000000028,ORD000000011,SKU003468,STR00003,2,358.31,381.6,0.0,716.62,0,
OIT0000000029,ORD000000012,SKU000405,STR00003,1,451.62,535.8,0.0,451.62,0,
OIT0000000030,ORD000000012,SKU003287,STR00003,1,1249.88,1475.55,0.0,1249.88,0,
OIT0000000031,ORD000000013,SKU001093,STR00003,1,659.95,760.19,0.0,659.95,0,
OIT0000000032,ORD000000013,SKU003589,STR00003,1,1050.18,1185.36,0.0,1050.18,0,
OIT0000000033,ORD000000014,SKU002055,STR00003,1,23131.59,26821.41,0.0,23131.59,0,
OIT0000000034,ORD000000014,SKU000678,STR00003,1,52085.46,55272.03,6410.73,45674.73,0,PRM01275
OIT0000000035,ORD000000014,SKU000475,STR00003,2,2796.71,2828.79,0.0,5593.42,0,
OIT0000000036,ORD000000014,SKU003585,STR00003,4,2985.4,3594.18,2087.79,9853.81,0,PRM00939
OIT0000000037,ORD000000015,SKU001034,STR00003,3,465.74,536.73,0.0,1397.22,0,
OIT0000000038,ORD000000015,SKU002229,STR00003,1,2364.99,2458.75,0.0,2364.99,0,
OIT0000000039,ORD000000016,SKU002700,STR00003,1,1926.84,2313.45,389.08,1537.76,1,PRM01621
OIT0000000040,ORD000000016,SKU000783,STR00003,2,670.84,704.15,0.0,1341.68,1,
OIT0000000041,ORD000000016,SKU001676,STR00003,1,1435.8,1613.36,0.0,1435.8,1,
OIT0000000042,ORD000000017,SKU000518,STR00003,3,1256.64,1392.21,259.46,3510.46,0,PRM02123
