order_id,customer_id,store_id,order_timestamp,order_date,order_status,channel,payment_method,subtotal,discount_total,tax,total_amount,num_items
ORD000000001,CUST0375331,STR00003,2024-01-01 20:35:58,2024-01-01,completed,app,COD,11371.07,0.0,568.55,11939.62,4
ORD000000002,CUST0258898,STR00003,2024-01-01 20:47:57,2024-01-01,completed,app,COD,11210.18,0.0,560.51,11770.69,2
ORD000000003,CUST0201259,STR00003,2024-01-01 10:09:56,2024-01-01,completed,app,CARD,4547.71,0.0,227.39,4775.1,2
ORD000000004,CUST0195703,STR00003,2024-01-01 11:47:20,2024-01-01,completed,online,UPI,13851.46,59.05,689.62,14482.03,2
ORD000000005,CUST0327716,STR00003,2024-01-01 12:23:50,2024-01-01,completed,app,COD,409.92,0.0,20.5,430.42,2
ORD000000006,CUST0125520,STR00003,2024-01-01 21:17:47,2024-01-01,completed,app,CARD,9908.2,0.0,495.41,10403.61,3
ORD000000007,CUST0217158,STR00003,2024-01-01 19:06:38,2024-01-01,completed,online,CASH,251113.84,0.0,12555.69,263669.53,1
ORD000000008,CUST0341732,STR00003,2024-01-01 16:53:01,2024-01-01,completed,online,UPI,175137.05,0.0,8756.85,183893.9,3
ORD000000009,CUST0175292,STR00003,2024-01-01 12:06:40,2024-01-01,completed,online,UPI,59093.1,0.0,2954.66,62047.76,1
ORD000000010,CUST0142595,STR00003,2024-01-01 08:02:56,2024-01-01,completed,in_store,CASH,10716.46,1265.94,472.53,9923.05,4
ORD000000011,CUST0141030,STR00003,2024-01-01 20:34:40,2024-01-01,completed,online,UPI,20235.78,0.0,1011.79,21247.57,4
ORD000000012,CUST0049611,STR00003,2024-01-01 13:34:10,2024-01-01,completed,app,CASH,1701.5,0.0,85.08,1786.58,2
ORD000000013,CUST0269316,STR00003,2024-01-01 18:56:14,2024-01-01,completed,online,UPI,1710.13,0.0,85.51,1795.64,2
ORD000000014,CUST0024487,STR00003,2024-01-01 16:19:59,2024-01-01,completed,in_store,UPI,92752.07,8498.52,4212.68,88466.23,4
ORD000000015,CUST0000523,STR00003,2024-01-01 18:37:01,2024-01-01,completed,app,WALLET,3762.21,0.0,188.11,3950.32,2
ORD000000016,CUST0004707,STR00003,2024-01-01 10:56:04,2024-01-01,cancelled,app,UPI,4704.32,389.08,215.76,4531.0,3
ORD000000017,CUST0116050,STR00003,2024-01-01 13:40:25,2024-01-01,completed,in_store,UPI,7723.57,259.46,373.21,7837.32,3
ORD000000018,CUST0032457,STR00003,2024-01-01 08:40:02,2024-01-01,completed,app,WALLET,27599.95,0.0,1380.0,28979.95,2
ORD000000019,CUST0317264,STR00003,2024-01-01 14:39:57,2024-01-01,completed,online,CASH,11073.58,1253.4,491.01,10311.19,3
ORD000000020,CUST0041052,STR00003,2024-01-01 10:24:41,2024-01-01,completed,online,CARD,5504.04,0.0,275.2,5779.24,2
ORD000000021,CUST0072233,STR00003,2024-01-01 12:18:16,2024-01-01,completed,online,CASH,12769.13,0.0,638.46,13407.59,3
ORD000000022,CUST0118641,STR00003,2024-01-01 14:12:22,2024-01-01,completed,app,CARD,7236.56,276.21,348.02,7308.37,3
ORD000000023,CUST0294124,STR00003,2024-01-01 14:53:29,2024-01-01,completed,online,CARD,287055.35,0.0,14352.77,301408.12,3
ORD000000024,CUST0027437,STR00003,2024-01-01 08:36:39,2024-01-01,completed,app,CARD,158428.8,31214.48,6360.72,133575.04,1
ORD000000025,CUST0158849,STR00003,2024-01-01 18:03:17,2024-01-01,completed,online,WALLET,134185.06,10237.51,6197.38,130144.93,4
ORD000000026,CUST0315163,STR00003,2024-01-01 12:43:28,2024-01-01,completed,app,UPI,19971.89,484.08,974.39,20462.2,3
ORD000000027,CUST0167908,STR00003,2024-01-01 13:20:13,2024-01-01,completed,app,UPI,235935.99,0.0,11796.8,247732.79,1
ORD000000028,CUST0077203,STR00003,2024-01-01 12:02:25,2024-01-01,completed,app,COD,57103.17,0.0,2855.16,59958.33,3
ORD000000029,CUST0057575,STR00003,2024-01-01 19:40:09,2024-01-01,completed,online,UPI,5042.08,0.0,252.1,5294.18,2
ORD000000030,CUST0092343,STR00003,2024-01-01 08:10:51,2024-01-01,completed,in_store,WALLET,356168.8,0.0,17808.44,373977.24,3
ORD000000031,CUST0132581,STR00003,2024-01-01 16:01:39,2024-01-01,completed,online,UPI,1421.93,229.11,59.64,1252.46,2
ORD000000032,CUST0327458,STR00003,2024-01-01 19:14:40,2024-01-01,completed,online,UPI,11919.16,0.0,595.96,12515.12,2
ORD000000033,CUST0300075,STR00003,2024-01-01 16:10:35,2024-01-01,completed,app,COD,94968.6,4402.24,4528.32,95094.68,4
ORD000000034,CUST0041958,STR00003,2024-01-01 18:16:55,2024-01-01,completed,online,CASH,10760.61,0.0,538.03,11298.64,1
ORD000000035,CUST0089826,STR00003,2024-01-01 13:33:33,2024-01-01,completed,online,CARD,165208.74,11746.59,7673.11,161135.26,5
ORD000000036,CUST0349380,STR00003,2024-01-01 12:29:11,2024-01-01,completed,app,UPI,256447.24,70228.33,9310.95,195529.86,2
ORD000000037,CUST0117491,STR00003,2024-01-01 21:28:53,2024-01-01,completed,online,CARD,55563.61,0.0,2778.18,58341.79,4
ORD000000038,CUST0205567,STR00003,2024-01-01 21:02:14,2024-01-01,completed,online,CASH,5133.92,526.44,230.37,4837.85,3
ORD000000039,CUST0222321,STR00003,2024-01-01 12:12:32,2024-01-01,completed,online,CARD,5211.08,0.0,260.55,5471.63,1
ORD000000040,CUST0108911,STR00003,2024-01-01 08:12:59,2024-01-01,completed,app,UPI,847.6,150.99,34.83,731.44,2
ORD000000041,CUST0392010,STR00003,2024-01-01 11:25:36,2024-01-01,completed,app,UPI,7990.33,0.0,399.52,8389.85,3
ORD000000042,CUST0137137,STR00003,2024-01-01 18:31:44,2024-01-01,completed,app,CARD,2010.54,0.0,100.53,2111.07,1
ORD000000043,CUST0097720,STR00003,2024-01-01 21:27:31,2024-01-01,completed,online,CASH,67977.2,12374.84,2780.12,58382.48,3
ORD000000044,CUST0251907,STR00003,2024-01-01 15:38:40,2024-01-01,completed,app,UPI,290385.54,0.0,14519.28,304904.82,4
ORD000000045,CUST0197771,STR00003,2024-01-01 13:49:32,2024-01-01,completed,online,CASH,195200.91,0.0,9760.05,204960.96,2
ORD000000046,CUST0048001,STR00003,2024-01-01 16:17:59,2024-01-01,completed,in_store,WALLET,140904.77,0.0,7045.24,147950.01,3
ORD000000047,CUST0084614,STR00003,2024-01-01 12:44:53,2024-01-01,completed,app,CASH,166907.45,24261.21,7132.31,149778.55,3
ORD000000048,CUST0242249,STR00003,2024-01-01 20:54:25,2024-01-01,completed,app,CASH,71100.0,52.24,3552.39,74600.15,2
ORD000000049,CUST0394894,STR00003,2024-01-01 10:26:04,2024-01-01,completed,online,UPI,2099.72,0.0,104.99,2204.71,2
ORD000000050,CUST0355166,STR00003,2024-01-01 11:51:59,2024-01-01,completed,app,UPI,4550.6,0.0,227.53,4778.13,2
ORD000000051,CUST0295138,STR00003,2024-01-01 21:51:55,2024-01-01,completed,online,CASH,1120.08,0.0,56.0,1176.08,2
ORD000000052,CUST0147618,STR00003,2024-01-01 12:18:04,2024-01-01,completed,app,CASH,157201.58,0.0,7860.08,165061.66,4
ORD000000053,CUST0084946,STR00003,2024-01-01 20:07:39,2024-01-01,completed,online,WALLET,139205.39,0.0,6960.27,146165.66,5
ORD000000054,CUST0136303,STR00003,2024-01-01 17:21:42,2024-01-01,completed,online,CARD,102681.23,414.36,5113.34,107380.21,4
ORD000000055,CUST0228020,STR00003,2024-01-01 21:32:49,2024-01-01,completed,phone,COD,12249.68,0.0,612.48,12862.16,2
ORD000000056,CUST0216492,STR00003,2024-01-01 14:52:57,2024-01-01,completed,online,UPI,2536.17,112.96,121.16,2544.37,2
ORD000000057,CUST0287964,STR00003,2024-01-01 08:53:19,2024-01-01,completed,online,CASH,10655.96,826.73,491.46,10320.69,2
ORD000000058,CUST0237768,STR00003,2024-01-01 14:29:35,2024-01-01,completed,online,WALLET,5145.27,0.0,257.26,5402.53,2
ORD000000059,CUST0241124,STR00005,2024-01-01 13:42:03,2024-01-01,completed,app,UPI,73592.2,183.1,3670.45,77079.55,4
ORD000000060,CUST0327063,STR00005,2024-01-01 15:39:17,2024-01-01,completed,app,UPI,51477.5,0.0,2573.88,54051.38,3
ORD000000061,CUST0006931,STR00005,2024-01-01 16:31:42,2024-01-01,completed,app,CASH,4412.41,0.0,220.62,4633.03,2
ORD000000062,CUST0056518,STR00005,2024-01-01 15:09:43,2024-01-01,completed,app,COD,28458.71,381.92,1403.84,29480.63,3
ORD000000063,CUST0017484,STR00005,2024-01-01 17:11:26,2024-01-01,completed,app,CASH,16339.56,0.0,816.98,17156.54,2
ORD000000064,CUST0044989,STR00005,2024-01-01 16:35:42,2024-01-01,completed,online,UPI,4104.09,0.0,205.2,4309.29,3
ORD000000065,CUST0074833,STR00005,2024-01-01 12:57:04,2024-01-01,completed,online,CARD,1925.06,0.0,96.25,2021.31,3
ORD000000066,CUST0212726,STR00005,2024-01-01 15:39:20,2024-01-01,completed,online,UPI,935398.27,108715.04,41334.16,868017.39,7
ORD000000067,CUST0321669,STR00005,2024-01-01 21:35:34,2024-01-01,completed,app,CARD,2847.31,0.0,142.37,2989.68,2
ORD000000068,CUST0235359,STR00005,2024-01-01 17:59:09,2024-01-01,cancelled,app,UPI,108020.14,0.0,5401.01,113421.15,2
ORD000000069,CUST0028439,STR00005,2024-01-01 16:03:57,2024-01-01,completed,online,UPI,154006.04,593.97,7670.6,161082.67,5
