pricing_id,product_id,store_id,effective_from,effective_to,selling_price,mrp_at_time
1,SKU000001,,2024-01-01,2024-08-15,630.64,684.47
2,SKU000001,,2024-08-16,2024-11-18,601.47,684.47
3,SKU000001,,2024-11-19,2026-01-14,620.94,684.47
4,SKU000001,,2026-01-15,,593.12,684.47
5,SKU000002,,2024-01-01,2025-07-01,649.55,690.6
6,SKU000002,,2025-07-02,2026-02-10,680.79,690.6
7,SKU000002,,2026-02-11,,690.6,690.6
8,SKU000003,,2024-01-01,2024-10-28,271.29,284.46
9,SKU000003,,2024-10-29,,251.16,284.46
10,SKU000004,,2024-01-01,2024-10-12,37654.81,43209.97
11,SKU000004,,2024-10-13,2025-11-16,37229.47,43209.97
12,SKU000004,,2025-11-17,2026-01-04,39309.34,43209.97
13,SKU000004,,2026-01-05,,42199.98,43209.97
14,SKU000005,,2024-01-01,,2589.63,2896.7
15,SKU000006,,2024-01-01,2025-08-17,4612.0,4874.14
16,SKU000006,,2025-08-18,,4516.2,4874.14
17,SKU000007,,2024-01-01,,1874.72,1951.26
18,SKU000008,,2024-01-01,2024-10-25,18436.19,20223.2
19,SKU000008,,2024-10-26,,19726.56,20223.2
20,SKU000009,,2024-01-01,2025-01-25,3373.86,3471.15
21,SKU000009,,2025-01-26,2025-06-12,3211.56,3471.15
22,SKU000009,,2025-06-13,2025-12-30,3304.1,3471.15
23,SKU000009,,2025-12-31,,3266.79,3471.15
24,SKU000010,,2024-01-01,2024-08-16,1206.29,1341.77
25,SKU000010,,2024-08-17,2025-05-14,1156.83,1341.77
26,SKU000010,,2025-05-15,,1190.09,1341.77
27,SKU000011,,2024-01-01,2025-08-06,587.39,705.85
28,SKU000011,,2025-08-07,2025-09-05,608.17,705.85
29,SKU000011,,2025-09-06,2026-03-19,607.14,705.85
30,SKU000011,,2026-03-20,,572.41,705.85
31,SKU000012,,2024-01-01,2024-12-28,250.52,276.39
32,SKU000012,,2024-12-29,2025-02-13,232.55,276.39
33,SKU000012,,2025-02-14,2025-05-04,241.35,276.39
34,SKU000012,,2025-05-05,,224.31,276.39
35,SKU000013,,2024-01-01,,1740.08,2118.82
36,SKU000014,,2024-01-01,2026-01-31,1000.99,1115.97
37,SKU000014,,2026-02-01,,929.35,1115.97
38,SKU000015,,2024-01-01,2024-04-06,31323.89,37926.21
39,SKU000015,,2024-04-07,2025-01-23,33584.24,37926.21
40,SKU000015,,2025-01-24,2025-12-29,32441.0,37926.21
41,SKU000015,,2025-12-30,,31272.97,37926.21
42,SKU000016,,2024-01-01,2024-06-27,1993.71,2217.33
43,SKU000016,,2024-06-28,2025-02-17,1956.95,2217.33
44,SKU000016,,2025-02-18,2025-09-12,2057.66,2217.33
45,SKU000016,,2025-09-13,,2112.6,2217.33
46,SKU000017,,2024-01-01,2024-09-22,222.84,259.17
47,SKU000017,,2024-09-23,,226.83,259.17
48,SKU000018,,2024-01-01,2025-01-23,44.92,54.84
49,SKU000018,,2025-01-24,2025-07-31,41.79,54.84
50,SKU000018,,2025-08-01,2025-09-08,44.39,54.84
51,SKU000018,,2025-09-09,,42.14,54.84
52,SKU000019,,2024-01-01,,540.17,645.5
53,SKU000020,,2024-01-01,2024-11-17,635.5,756.65
54,SKU000020,,2024-11-18,2025-08-04,638.47,756.65
55,SKU000020,,2025-08-05,,591.64,756.65
56,SKU000021,,2024-01-01,2025-02-25,4030.73,5142.3
57,SKU000021,,2025-02-26,2025-08-20,3882.52,5142.3
58,SKU000021,,2025-08-21,2025-09-27,3906.95,5142.3
59,SKU000021,,2025-09-28,,3810.7,5142.3
60,SKU000022,,2024-01-01,2024-10-14,93.71,113.01
61,SKU000022,,2024-10-15,,100.62,113.01
62,SKU000023,,2024-01-01,,3951.56,5050.17
63,SKU000024,,2024-01-01,,647.57,820.45
64,SKU000025,,2024-01-01,2025-09-29,2408.69,2531.89
65,SKU000025,,2025-09-30,,2218.95,2531.89
66,SKU000026,,2024-01-01,,19453.68,22486.23
67,SKU000027,,2024-01-01,2024-07-10,235.99,253.62
68,SKU000027,,2024-07-11,2025-06-10,243.48,253.62
69,SKU000027,,2025-06-11,2026-02-06,247.03,253.62
70,SKU000027,,2026-02-07,,238.68,253.62
71,SKU000028,,2024-01-01,,1206.6,1442.55
72,SKU000029,,2024-01-01,,1730.19,2027.87
73,SKU000030,,2024-01-01,2025-10-24,137.36,157.92
74,SKU000030,,2025-10-25,,139.39,157.92
75,SKU000031,,2024-01-01,2024-08-12,1000.73,1047.24
76,SKU000031,,2024-08-13,2024-09-08,1012.0,1047.24
77,SKU000031,,2024-09-09,2025-10-09,967.23,1047.24
78,SKU000031,,2025-10-10,,978.84,1047.24
79,SKU000032,,2024-01-01,2025-01-04,511.74,568.49
80,SKU000032,,2025-01-05,2025-11-02,518.38,568.49
81,SKU000032,,2025-11-03,,497.28,568.49
82,SKU000033,,2024-01-01,2025-10-08,16460.92,18882.66
83,SKU000033,,2025-10-09,,17367.79,18882.66
84,SKU000034,,2024-01-01,2024-07-13,447.31,500.01
85,SKU000034,,2024-07-14,2024-12-26,429.44,500.01
86,SKU000034,,2024-12-27,2025-09-15,440.07,500.01
87,SKU000034,,2025-09-16,,469.54,500.01
88,SKU000035,,2024-01-01,2024-04-01,719.32,756.86
89,SKU000035,,2024-04-02,2025-04-01,756.86,756.86
90,SKU000035,,2025-04-02,,724.09,756.86
91,SKU000036,,2024-01-01,2024-09-24,41.0,48.4
92,SKU000036,,2024-09-25,2025-04-10,41.51,48.4
93,SKU000036,,2025-04-11,,42.68,48.4
94,SKU000037,,2024-01-01,2024-12-25,2157.04,2451.95
95,SKU000037,,2024-12-26,2025-07-10,2184.74,2451.95
96,SKU000037,,2025-07-11,2026-03-18,2045.22,2451.95
97,SKU000037,,2026-03-19,,2082.75,2451.95
98,SKU000038,,2024-01-01,2024-10-29,335.54,390.54
99,SKU000038,,2024-10-30,2025-05-14,318.01,390.54
100,SKU000038,,2025-05-15,,298.96,390.54
101,SKU000039,,2024-01-01,2025-06-12,643.2,704.99
102,SKU000039,,2025-06-13,2025-12-02,631.27,704.99
103,SKU000039,,2025-12-03,2025-12-15,610.96,704.99
104,SKU000039,,2025-12-16,,631.97,704.99
105,SKU000040,,2024-01-01,2025-03-22,640.56,698.25
106,SKU000040,,2025-03-23,2025-06-19,631.49,698.25
107,SKU000040,,2025-06-20,,651.07,698.25
108,SKU000041,,2024-01-01,2025-02-27,60324.12,67704.3
109,SKU000041,,2025-02-28,2025-09-10,63373.76,67704.3
110,SKU000041,,2025-09-11,2026-01-03,62144.17,67704.3
111,SKU000041,,2026-01-04,,58477.65,67704.3
112,SKU000042,,2024-01-01,,683.23,719.66
113,SKU000043,,2024-01-01,2025-08-12,2736.52,3050.38
114,SKU000043,,2025-08-13,2025-12-24,2806.29,3050.38
115,SKU000043,,2025-12-25,2026-03-15,3030.38,3050.38
116,SKU000043,,2026-03-16,,3050.38,3050.38
117,SKU000044,,2024-01-01,2024-09-22,2342.2,2627.3
118,SKU000044,,2024-09-23,2025-10-05,2458.07,2627.3
119,SKU000044,,2025-10-06,2026-03-07,2360.54,2627.3
120,SKU000044,,2026-03-08,,2259.14,2627.3
121,SKU000045,,2024-01-01,2026-03-13,260.2,275.89
122,SKU000045,,2026-03-14,,246.34,275.89
123,SKU000046,,2024-01-01,2024-06-30,193.94,206.88
124,SKU000046,,2024-07-01,2026-01-27,180.07,206.88
125,SKU000046,,2026-01-28,,177.97,206.88
126,SKU000047,,2024-01-01,2025-03-18,39268.69,41800.29
127,SKU000047,,2025-03-19,2026-02-17,37678.55,41800.29
128,SKU000047,,2026-02-18,,36005.94,41800.29
129,SKU000048,,2024-01-01,2026-02-25,75434.3,84396.44
130,SKU000048,,2026-02-26,,79661.49,84396.44
131,SKU000049,,2024-01-01,2025-05-03,2346.92,2853.68
132,SKU000049,,2025-05-04,,2192.37,2853.68
133,SKU000050,,2024-01-01,,54095.77,56874.02
134,SKU000051,,2024-01-01,2025-01-24,882.4,932.6
135,SKU000051,,2025-01-25,2025-02-02,815.58,932.6
136,SKU000051,,2025-02-03,2025-09-05,759.99,932.6
137,SKU000051,,2025-09-06,,801.43,932.6
138,SKU000052,,2024-01-01,,707.92,880.96
139,SKU000053,,2024-01-01,2024-08-07,1452.43,1519.34
140,SKU000053,,2024-08-08,2025-03-17,1461.91,1519.34
141,SKU000053,,2025-03-18,2025-08-19,1419.92,1519.34
142,SKU000053,,2025-08-20,,1516.37,1519.34
143,SKU000054,,2024-01-01,2025-01-14,3876.14,4077.18
144,SKU000054,,2025-01-15,,3712.05,4077.18
145,SKU000055,,2024-01-01,2024-09-02,3836.35,4112.85
146,SKU000055,,2024-09-03,2025-06-07,3538.06,4112.85
147,SKU000055,,2025-06-08,2025-07-06,3275.79,4112.85
148,SKU000055,,2025-07-07,,3317.64,4112.85
149,SKU000056,,2024-01-01,2024-12-28,38990.53,49755.55
150,SKU000056,,2024-12-29,2026-02-20,38912.29,49755.55
151,SKU000056,,2026-02-21,,39041.17,49755.55
152,SKU000057,,2024-01-01,2025-03-31,856.8,942.94
153,SKU000057,,2025-04-01,2025-07-14,897.96,942.94
154,SKU000057,,2025-07-15,2025-10-30,837.47,942.94
155,SKU000057,,2025-10-31,,859.96,942.94
156,SKU000058,,2024-01-01,2025-03-26,347.26,368.12
157,SKU000058,,2025-03-27,2026-01-29,360.19,368.12
158,SKU000058,,2026-01-30,,368.12,368.12
159,SKU000059,,2024-01-01,2024-08-21,1021.91,1083.91
160,SKU000059,,2024-08-22,2025-08-01,1083.91,1083.91
161,SKU000059,,2025-08-02,,1082.64,1083.91
162,SKU000060,,2024-01-01,2024-11-05,298.31,378.97
163,SKU000060,,2024-11-06,2025-12-11,299.95,378.97
164,SKU000060,,2025-12-12,2026-03-12,309.06,378.97
165,SKU000060,,2026-03-13,,305.49,378.97
166,SKU000061,,2024-01-01,,2617.76,2891.35
167,SKU000062,,2024-01-01,,204.86,240.51
168,SKU000063,,2024-01-01,2025-02-15,2189.33,2529.14
169,SKU000063,,2025-02-16,2025-11-24,2347.98,2529.14
170,SKU000063,,2025-11-25,,2377.1,2529.14
171,SKU000064,,2024-01-01,,1295.09,1412.75
172,SKU000065,,2024-01-01,2024-03-18,235.44,300.08
173,SKU000065,,2024-03-19,2024-05-10,222.37,300.08
174,SKU000065,,2024-05-11,2024-10-12,233.65,300.08
175,SKU000065,,2024-10-13,,238.8,300.08
176,SKU000066,,2024-01-01,2025-09-27,862.81,1061.34
177,SKU000066,,2025-09-28,,818.16,1061.34
178,SKU000067,,2024-01-01,2024-12-17,3062.25,3824.14
179,SKU000067,,2024-12-18,2024-12-29,2906.53,3824.14
180,SKU000067,,2024-12-30,,3070.15,3824.14
181,SKU000068,,2024-01-01,2025-11-20,56626.91,63982.16
182,SKU000068,,2025-11-21,,59013.05,63982.16
183,SKU000069,,2024-01-01,2024-10-24,1117.17,1239.34
184,SKU000069,,2024-10-25,2025-09-25,1129.74,1239.34
185,SKU000069,,2025-09-26,,1087.22,1239.34
186,SKU000070,,2024-01-01,2024-06-10,785.34,840.51
187,SKU000070,,2024-06-11,2026-01-20,834.91,840.51
188,SKU000070,,2026-01-21,,834.73,840.51
189,SKU000071,,2024-01-01,2025-03-10,3239.96,3537.47
190,SKU000071,,2025-03-11,2025-10-29,3464.41,3537.47
191,SKU000071,,2025-10-30,2025-11-29,3413.35,3537.47
192,SKU000071,,2025-11-30,,3537.47,3537.47
193,SKU000072,,2024-01-01,2025-05-19,515.46,536.51
194,SKU000072,,2025-05-20,2026-02-05,536.51,536.51
195,SKU000072,,2026-02-06,2026-02-23,520.35,536.51
196,SKU000072,,2026-02-24,,479.64,536.51
