promo_id,promo_name,promo_type,discount_value,applicable_scope,scope_value,start_date,end_date,min_order_value,max_discount
PRM00001,Percent Off 43% (1),percent_off,43,STORE,STR00140,2025-04-04,2025-04-22,0,1000
PRM00002,Percent Off 28% (2),percent_off,28,SKU,SKU002138,2024-08-22,2024-10-06,499,100
PRM00003,Percent Off 23% (3),percent_off,23,CATEGORY,CAT0107,2026-01-10,2026-02-19,199,100
PRM00004,Percent Off 29% (4),percent_off,29,SKU,SKU001167,2026-02-17,2026-03-08,999,0
PRM00005,Flat Off 88 (5),flat_off,88,SKU,SKU003849,2025-06-23,2025-07-02,0,0
PRM00006,Percent Off 25% (6),percent_off,25,GLOBAL,,2025-06-11,2025-07-07,0,0
PRM00007,Flat Off 236 (7),flat_off,236,SKU,SKU000414,2024-05-18,2024-06-22,0,0
PRM00008,Flat Off 664 (8),flat_off,664,SKU,SKU001899,2025-02-16,2025-03-19,199,100
PRM00009,Percent Off 38% (9),percent_off,38,STORE,STR00107,2025-12-05,2026-01-30,0,0
PRM00010,Flat Off 876 (10),flat_off,876,CATEGORY,CAT0078,2025-03-15,2025-05-06,0,0
PRM00011,Flat Off 1316 (11),flat_off,1316,CATEGORY,CAT0023,2025-10-26,2025-12-24,199,0
PRM00012,Flat Off 753 (12),flat_off,753,SKU,SKU003017,2026-01-04,2026-02-01,499,0
PRM00013,Percent Off 15% (13),percent_off,15,SKU,SKU000143,2025-10-01,2025-10-16,999,0
PRM00014,Percent Off 19% (14),percent_off,19,GLOBAL,,2025-06-27,2025-07-14,0,100
PRM00015,Percent Off 38% (15),percent_off,38,CATEGORY,CAT0089,2024-08-10,2024-09-23,0,0
PRM00016,Bogo 2 (16),bogo,2,CATEGORY,CAT0014,2024-01-11,2024-03-06,0,0
PRM00017,Flat Off 445 (17),flat_off,445,STORE,STR00091,2025-03-24,2025-04-13,0,1000
PRM00018,Bundle 1 (18),bundle,1,GLOBAL,,2026-02-16,2026-04-09,499,0
PRM00019,Percent Off 32% (19),percent_off,32,SKU,SKU001204,2025-03-01,2025-03-14,0,0
PRM00020,Flat Off 1089 (20),flat_off,1089,CATEGORY,CAT0046,2025-11-28,2025-12-20,0,0
PRM00021,Percent Off 47% (21),percent_off,47,STORE,STR00098,2024-06-05,2024-06-20,999,500
PRM00022,Bogo 3 (22),bogo,3,GLOBAL,,2024-06-09,2024-06-16,999,0
PRM00023,Percent Off 40% (23),percent_off,40,CATEGORY,CAT0112,2026-01-02,2026-01-05,499,500
PRM00024,Flat Off 564 (24),flat_off,564,GLOBAL,,2026-02-13,2026-02-20,499,0
PRM00025,Percent Off 50% (25),percent_off,50,GLOBAL,,2024-11-06,2024-12-09,999,500
PRM00026,Flat Off 233 (26),flat_off,233,STORE,STR00089,2025-11-11,2025-12-03,0,100
PRM00027,Flat Off 1025 (27),flat_off,1025,CATEGORY,CAT0024,2025-04-17,2025-05-10,0,0
PRM00028,Percent Off 9% (28),percent_off,9,CATEGORY,CAT0026,2025-07-15,2025-07-28,199,0
PRM00029,Percent Off 32% (29),percent_off,32,SKU,SKU000308,2025-05-08,2025-05-19,0,100
PRM00030,Percent Off 24% (30),percent_off,24,CATEGORY,CAT0135,2024-05-20,2024-06-09,499,100
PRM00031,Flat Off 1022 (31),flat_off,1022,SKU,SKU002071,2025-08-26,2025-09-05,0,2500
PRM00032,Flat Off 317 (32),flat_off,317,SKU,SKU000921,2026-02-09,2026-02-26,0,500
PRM00033,Bogo 1 (33),bogo,1,SKU,SKU003928,2024-08-05,2024-08-26,0,0
PRM00034,Percent Off 13% (34),percent_off,13,CATEGORY,CAT0059,2025-08-15,2025-09-02,199,0
PRM00035,Percent Off 42% (35),percent_off,42,SKU,SKU003809,2025-05-15,2025-06-16,199,0
PRM00036,Percent Off 49% (36),percent_off,49,STORE,STR00065,2024-03-26,2024-04-04,499,100
PRM00037,Percent Off 22% (37),percent_off,22,STORE,STR00139,2024-04-18,2024-04-27,199,0
PRM00038,Percent Off 25% (38),percent_off,25,CATEGORY,CAT0110,2025-06-17,2025-07-05,0,100
PRM00039,Bogo 1 (39),bogo,1,STORE,STR00090,2024-05-23,2024-06-09,0,0
PRM00040,Bundle 1 (40),bundle,1,CATEGORY,CAT0052,2025-12-27,2026-02-20,0,100
PRM00041,Percent Off 15% (41),percent_off,15,SKU,SKU003212,2026-02-18,2026-03-30,0,0
PRM00042,Percent Off 7% (42),percent_off,7,SKU,SKU001525,2026-02-05,2026-02-16,0,0
PRM00043,Bogo 1 (43),bogo,1,CATEGORY,CAT0128,2025-10-03,2025-10-14,999,1000
PRM00044,Flat Off 1143 (44),flat_off,1143,CATEGORY,CAT0037,2024-01-26,2024-03-09,0,500
PRM00045,Bogo 3 (45),bogo,3,SKU,SKU001111,2025-05-24,2025-06-14,199,0
PRM00046,Percent Off 6% (46),percent_off,6,GLOBAL,,2025-12-02,2026-01-30,0,100
