return_id,order_id,order_item_id,quantity_returned,refund_amount,return_reason,refund_status,return_offset_days
RET000000001,ORD000000005,OIT0000000011,1,236.8,quality,refunded,13
RET000000002,ORD000000012,OIT0000000029,1,451.62,size_mismatch,refunded,18
RET000000003,ORD000000014,OIT0000000035,1,2796.71,changed_mind,refunded,10
RET000000004,ORD000000030,OIT0000000077,4,218830.4,changed_mind,refunded,18
RET000000005,ORD000000041,OIT0000000106,1,3428.75,damaged,refunded,12
RET000000006,ORD000000051,OIT0000000130,1,114.32,size_mismatch,refunded,11
RET000000007,ORD000000058,OIT0000000151,1,4413.67,changed_mind,refunded,9
RET000000008,ORD000000091,OIT0000000239,1,1716.97,quality,refunded,4
RET000000009,ORD000000094,OIT0000000250,1,232.66,changed_mind,refunded,12
RET000000010,ORD000000112,OIT0000000292,1,771.88,not_as_described,refunded,8
RET000000011,ORD000000122,OIT0000000314,1,44997.93,quality,refunded,23
RET000000012,ORD000000136,OIT0000000351,1,683.23,damaged,refunded,20
RET000000013,ORD000000137,OIT0000000355,2,4721.94,changed_mind,refunded,14
RET000000014,ORD000000139,OIT0000000359,1,199.12,not_as_described,refunded,25
RET000000015,ORD000000141,OIT0000000364,3,1999.77,not_as_described,refunded,5
RET000000016,ORD000000151,OIT0000000395,1,18308.32,not_as_described,refunded,6
RET000000017,ORD000000156,OIT0000000405,1,4648.32,damaged,refunded,5
RET000000018,ORD000000169,OIT0000000445,1,39.38,quality,refunded,4
RET000000019,ORD000000190,OIT0000000502,1,508.64,wrong_item,refunded,25
RET000000020,ORD000000190,OIT0000000504,2,7872.71,changed_mind,refunded,25
RET000000021,ORD000000200,OIT0000000528,1,960.71,size_mismatch,refunded,6
RET000000022,ORD000000202,OIT0000000534,1,649.25,changed_mind,pending,23
RET000000023,ORD000000205,OIT0000000544,1,1675.74,wrong_item,refunded,13
RET000000024,ORD000000207,OIT0000000549,1,379.63,damaged,refunded,24
RET000000025,ORD000000212,OIT0000000566,4,24168.2,changed_mind,refunded,5
RET000000026,ORD000000219,OIT0000000582,1,1033.27,wrong_item,refunded,11
RET000000027,ORD000000232,OIT0000000616,1,79606.9,wrong_item,refunded,18
RET000000028,ORD000000253,OIT0000000670,1,1870.22,damaged,refunded,16
RET000000029,ORD000000257,OIT0000000678,3,2670.39,wrong_item,refunded,17
RET000000030,ORD000000260,OIT0000000689,2,4987.82,not_as_described,refunded,18
RET000000031,ORD000000261,OIT0000000692,1,2118.32,not_as_described,refunded,11
RET000000032,ORD000000278,OIT0000000740,1,22876.98,changed_mind,refunded,3
RET000000033,ORD000000287,OIT0000000765,1,2487.99,quality,refunded,25
RET000000034,ORD000000297,OIT0000000793,2,1249.3,damaged,refunded,4
RET000000035,ORD000000308,OIT0000000817,1,2574.49,quality,refunded,7
RET000000036,ORD000000320,OIT0000000844,3,12247.83,quality,refunded,8
RET000000037,ORD000000327,OIT0000000858,1,2724.85,changed_mind,refunded,4
RET000000038,ORD000000346,OIT0000000911,1,1132.28,damaged,refunded,10
RET000000039,ORD000000361,OIT0000000947,1,486.01,changed_mind,refunded,20
RET000000040,ORD000000365,OIT0000000955,3,467.85,changed_mind,refunded,10
RET000000041,ORD000000379,OIT0000000994,1,83.41,size_mismatch,refunded,6
RET000000042,ORD000000392,OIT0000001033,1,3943.8,damaged,refunded,14
RET000000043,ORD000000396,OIT0000001042,1,13376.34,changed_mind,refunded,25
RET000000044,ORD000000413,OIT0000001091,1,2605.9,changed_mind,refunded,3
RET000000045,ORD000000415,OIT0000001097,1,186.43,changed_mind,refunded,24
RET000000046,ORD000000416,OIT0000001099,1,83970.9,changed_mind,refunded,20
RET000000047,ORD000000437,OIT0000001154,2,99034.84,quality,refunded,6
RET000000048,ORD000000449,OIT0000001186,2,234.54,damaged,pending,5
RET000000049,ORD000000450,OIT0000001187,4,13305.56,changed_mind,refunded,22
RET000000050,ORD000000460,OIT0000001210,1,17635.96,not_as_described,refunded,25
RET000000051,ORD000000492,OIT0000001299,4,2113.12,damaged,refunded,12
RET000000052,ORD000000503,OIT0000001324,1,85554.12,not_as_described,refunded,10
RET000000053,ORD000000512,OIT0000001347,3,1668.72,wrong_item,refunded,9
RET000000054,ORD000000516,OIT0000001353,1,1530.29,not_as_described,pending,6
RET000000055,ORD000000522,OIT0000001369,2,465.32,changed_mind,refunded,8
RET000000056,ORD000000535,OIT0000001402,2,326.0,not_as_described,pending,22
RET000000057,ORD000000541,OIT0000001414,1,28205.54,not_as_described,refunded,24
RET000000058,ORD000000542,OIT0000001415,1,1476.26,quality,refunded,7
RET000000059,ORD000000545,OIT0000001425,1,35734.95,changed_mind,rejected,14
RET000000060,ORD000000546,OIT0000001429,1,31296.41,changed_mind,rejected,4
RET000000061,ORD000000546,OIT0000001431,2,595.58,quality,refunded,15
RET000000062,ORD000000547,OIT0000001432,1,76.21,wrong_item,refunded,22
RET000000063,ORD000000556,OIT0000001455,2,4137.34,size_mismatch,refunded,2
RET000000064,ORD000000556,OIT0000001457,4,261089.92,not_as_described,refunded,7
RET000000065,ORD000000561,OIT0000001467,3,10786.59,not_as_described,refunded,22
RET000000066,ORD000000569,OIT0000001493,1,346.6,not_as_described,refunded,16
RET000000067,ORD000000570,OIT0000001494,2,1125.78,size_mismatch,refunded,23
RET000000068,ORD000000578,OIT0000001516,1,1368.75,not_as_described,refunded,21
RET000000069,ORD000000599,OIT0000001556,2,1193.1,not_as_described,refunded,12
RET000000070,ORD000000616,OIT0000001598,1,3692.42,damaged,refunded,8
RET000000071,ORD000000620,OIT0000001605,4,4311.04,quality,refunded,12
RET000000072,ORD000000621,OIT0000001608,1,893.55,not_as_described,refunded,19
RET000000073,ORD000000622,OIT0000001609,1,194.93,changed_mind,refunded,23
RET000000074,ORD000000637,OIT0000001641,2,8288.76,damaged,refunded,24
RET000000075,ORD000000638,OIT0000001645,1,3854.74,size_mismatch,refunded,12
RET000000076,ORD000000650,OIT0000001676,4,8476.08,not_as_described,refunded,18
RET000000077,ORD000000651,OIT0000001678,1,533.56,damaged,refunded,14
RET000000078,ORD000000652,OIT0000001682,1,2703.05,changed_mind,refunded,20
RET000000079,ORD000000657,OIT0000001701,1,3265.74,not_as_described,refunded,24
RET000000080,ORD000000659,OIT0000001707,2,2092.34,quality,refunded,5
RET000000081,ORD000000659,OIT0000001711,1,634.73,damaged,refunded,6
RET000000082,ORD000000664,OIT0000001722,2,976.21,size_mismatch,refunded,23
RET000000083,ORD000000691,OIT0000001787,1,296.12,size_mismatch,refunded,6
RET000000084,ORD000000708,OIT0000001832,2,22413.02,size_mismatch,refunded,5
RET000000085,ORD000000709,OIT0000001834,1,321.01,quality,refunded,1
RET000000086,ORD000000719,OIT0000001856,1,1192.61,quality,pending,19
RET000000087,ORD000000719,OIT0000001857,1,47545.89,changed_mind,refunded,25
RET000000088,ORD000000723,OIT0000001863,1,22094.22,quality,rejected,1
RET000000089,ORD000000724,OIT0000001866,1,76.16,damaged,refunded,19
RET000000090,ORD000000731,OIT0000001882,1,63209.99,quality,refunded,22
RET000000091,ORD000000733,OIT0000001889,1,68161.72,damaged,refunded,13
RET000000092,ORD000000736,OIT0000001894,1,2162.63,size_mismatch,refunded,14
RET000000093,ORD000000737,OIT0000001896,1,1803.96,changed_mind,refunded,12
RET000000094,ORD000000747,OIT0000001930,1,332.93,quality,refunded,1
RET000000095,ORD000000748,OIT0000001932,1,171.95,damaged,refunded,4
RET000000096,ORD000000752,OIT0000001941,3,563.55,not_as_described,refunded,14
RET000000097,ORD000000767,OIT0000001977,4,1584.68,damaged,refunded,11
RET000000098,ORD000000768,OIT0000001984,4,1468.8,changed_mind,refunded,15
RET000000099,ORD000000783,OIT0000002025,1,941.45,wrong_item,rejected,7
RET000000100,ORD000000784,OIT0000002026,1,655.23,changed_mind,refunded,13
RET000000101,ORD000000789,OIT0000002037,4,129407.6,changed_mind,refunded,22
RET000000102,ORD000000790,OIT0000002038,1,961.86,changed_mind,refunded,22
RET000000103,ORD000000790,OIT0000002040,1,610.75,changed_mind,refunded,11
RET000000104,ORD000000816,OIT0000002095,2,1112.94,wrong_item,refunded,15
RET000000105,ORD000000817,OIT0000002098,1,60532.56,changed_mind,refunded,25
RET000000106,ORD000000818,OIT0000002101,3,94012.22,quality,pending,21
RET000000107,ORD000000820,OIT0000002107,1,858.46,size_mismatch,refunded,2
RET000000108,ORD000000825,OIT0000002117,2,889.41,not_as_described,refunded,20
RET000000109,ORD000000844,OIT0000002159,3,574.68,changed_mind,refunded,17
RET000000110,ORD000000855,OIT0000002181,4,320729.04,changed_mind,refunded,3
RET000000111,ORD000000859,OIT0000002196,1,1809.61,quality,refunded,6
RET000000112,ORD000000861,OIT0000002206,1,97.12,quality,refunded,7
RET000000113,ORD000000861,OIT0000002208,1,165.0,changed_mind,refunded,16
RET000000114,ORD000000866,OIT0000002216,1,415.74,damaged,rejected,17
RET000000115,ORD000000878,OIT0000002244,1,157.64,damaged,refunded,19
RET000000116,ORD000000884,OIT0000002260,1,226.1,damaged,refunded,25
RET000000117,ORD000000886,OIT0000002266,4,3289.48,changed_mind,refunded,5
RET000000118,ORD000000895,OIT0000002284,4,5367.24,changed_mind,refunded,13
RET000000119,ORD000000900,OIT0000002303,1,58094.22,not_as_described,refunded,4
RET000000120,ORD000000909,OIT0000002323,1,46480.57,size_mismatch,refunded,24
RET000000121,ORD000000916,OIT0000002335,4,1394.2,quality,refunded,19
RET000000122,ORD000000941,OIT0000002412,1,1843.15,changed_mind,refunded,5
RET000000123,ORD000000951,OIT0000002435,4,9768.46,size_mismatch,refunded,10
RET000000124,ORD000000955,OIT0000002446,1,1530.4,size_mismatch,refunded,8
RET000000125,ORD000000977,OIT0000002515,1,34627.39,not_as_described,refunded,25
RET000000126,ORD000000984,OIT0000002535,1,50838.6,not_as_described,refunded,19
RET000000127,ORD000000987,OIT0000002547,1,432.52,wrong_item,rejected,19
RET000000128,ORD000000993,OIT0000002563,2,52027.32,not_as_described,refunded,5
RET000000129,ORD000001000,OIT0000002580,4,8281.59,wrong_item,refunded,21
RET000000130,ORD000001023,OIT0000002630,1,208.08,quality,rejected,12
RET000000131,ORD000001025,OIT0000002635,3,1240.8,wrong_item,refunded,14
RET000000132,ORD000001028,OIT0000002641,2,416.16,damaged,refunded,14
RET000000133,ORD000001031,OIT0000002647,1,768.75,changed_mind,refunded,22
RET000000134,ORD000001042,OIT0000002676,1,16614.17,changed_mind,rejected,5
RET000000135,ORD000001043,OIT0000002679,1,76111.92,size_mismatch,refunded,16
RET000000136,ORD000001046,OIT0000002684,1,4621.12,quality,refunded,16
RET000000137,ORD000001060,OIT0000002729,1,1251.7,damaged,refunded,15
RET000000138,ORD000001064,OIT0000002741,1,956.58,not_as_described,refunded,25
RET000000139,ORD000001087,OIT0000002788,3,23239.89,not_as_described,refunded,13
RET000000140,ORD000001090,OIT0000002796,2,5827.52,changed_mind,refunded,19
RET000000141,ORD000001097,OIT0000002815,4,42442.43,changed_mind,refunded,4
RET000000142,ORD000001102,OIT0000002830,1,2505.1,wrong_item,pending,10
RET000000143,ORD000001111,OIT0000002847,1,518.56,changed_mind,refunded,6
RET000000144,ORD000001115,OIT0000002859,2,2221.04,damaged,refunded,6
RET000000145,ORD000001130,OIT0000002895,1,1525.19,not_as_described,refunded,23
RET000000146,ORD000001132,OIT0000002900,1,1115.01,changed_mind,refunded,17
RET000000147,ORD000001135,OIT0000002911,1,7807.32,changed_mind,refunded,9
RET000000148,ORD000001137,OIT0000002922,2,116516.22,size_mismatch,refunded,7
RET000000149,ORD000001150,OIT0000002960,1,835.43,not_as_described,refunded,2
RET000000150,ORD000001151,OIT0000002965,1,501.17,quality,pending,10
RET000000151,ORD000001153,OIT0000002968,1,3217.9,wrong_item,refunded,16
RET000000152,ORD000001163,OIT0000002997,2,91654.56,size_mismatch,refunded,1
RET000000153,ORD000001163,OIT0000002998,4,106402.64,not_as_described,refunded,17
RET000000154,ORD000001164,OIT0000003000,2,2575.58,changed_mind,refunded,5
RET000000155,ORD000001169,OIT0000003012,2,1013.14,damaged,refunded,21
RET000000156,ORD000001177,OIT0000003040,1,461.64,damaged,refunded,21
RET000000157,ORD000001183,OIT0000003053,1,1727.2,quality,refunded,5
RET000000158,ORD000001186,OIT0000003060,1,162.74,wrong_item,refunded,24
RET000000159,ORD000001190,OIT0000003072,1,1157.04,wrong_item,refunded,17
RET000000160,ORD000001195,OIT0000003081,2,5000.76,changed_mind,refunded,1
RET000000161,ORD000001224,OIT0000003151,1,650.08,wrong_item,refunded,6
RET000000162,ORD000001224,OIT0000003153,2,536.5,wrong_item,refunded,1
RET000000163,ORD000001233,OIT0000003174,1,35252.55,damaged,refunded,9
RET000000164,ORD000001238,OIT0000003187,1,778.55,size_mismatch,refunded,23
RET000000165,ORD000001266,OIT0000003261,1,40597.45,changed_mind,refunded,17
RET000000166,ORD000001273,OIT0000003282,2,995.06,damaged,refunded,25
RET000000167,ORD000001274,OIT0000003286,1,960.71,not_as_described,refunded,23
RET000000168,ORD000001274,OIT0000003287,1,584.13,changed_mind,refunded,9
RET000000169,ORD000001279,OIT0000003304,1,38689.79,not_as_described,refunded,1
RET000000170,ORD000001282,OIT0000003309,1,848.39,size_mismatch,refunded,19
RET000000171,ORD000001283,OIT0000003311,2,75473.3,quality,refunded,24
RET000000172,ORD000001287,OIT0000003324,3,8083.89,quality,refunded,2
RET000000173,ORD000001289,OIT0000003332,2,5109.48,quality,refunded,5
RET000000174,ORD000001292,OIT0000003336,3,216374.46,not_as_described,refunded,20
RET000000175,ORD000001297,OIT0000003351,1,647.61,changed_mind,refunded,12
RET000000176,ORD000001301,OIT0000003358,3,202688.4,quality,rejected,10
RET000000177,ORD000001306,OIT0000003372,2,78966.4,changed_mind,refunded,6
RET000000178,ORD000001307,OIT0000003376,4,167055.2,quality,refunded,12
RET000000179,ORD000001310,OIT0000003382,2,2402.04,quality,refunded,8
RET000000180,ORD000001331,OIT0000003442,1,1215.77,quality,refunded,24
RET000000181,ORD000001338,OIT0000003454,1,2554.87,size_mismatch,refunded,24
RET000000182,ORD000001351,OIT0000003486,3,519.96,changed_mind,rejected,21
RET000000183,ORD000001366,OIT0000003518,2,208.58,quality,refunded,5
