mapping_id,store_id,region_id,region_name,effective_from,effective_to
1,STR00001,HYD,Hyderabad Metro,2024-01-03,
2,STR00002,KOL,Kolkata Metro,2024-11-29,
3,STR00003,AHM,Ahmedabad Metro,2024-01-01,
4,STR00004,KOL,Kolkata Metro,2025-05-19,
5,STR00005,BLR,Bengaluru Metro,2024-01-01,
6,STR00006,MUM,Mumbai Metro,2024-01-01,
7,STR00007,MUM,Mumbai Metro,2024-01-01,
8,STR00008,CHN,Chennai Metro,2024-01-01,
9,STR00009,PUN,Pune Metro,2024-01-01,
10,STR00010,MUM,Mumbai Metro,2024-01-01,
11,STR00011,DEL,Delhi NCR,2024-01-01,
12,STR00012,CHN,Chennai Metro,2024-01-01,
13,STR00013,CHN,Chennai Metro,2024-01-01,
14,STR00014,PUN,Pune Metro,2024-01-01,
15,STR00015,DEL,Delhi NCR,2024-02-24,
16,STR00016,DEL,Delhi NCR,2024-01-01,
17,STR00017,KOL,Kolkata Metro,2025-02-06,
18,STR00018,MUM,Mumbai Metro,2024-01-01,
19,STR00019,BLR,Bengaluru Metro,2024-01-01,
20,STR00020,HYD,Hyderabad Metro,2024-01-01,
21,STR00021,MUM,Mumbai Metro,2024-01-01,
22,STR00022,CHN,Chennai Metro,2025-03-20,
23,STR00023,DEL,Delhi NCR,2024-01-01,
24,STR00024,MUM,Mumbai Metro,2024-01-01,
25,STR00025,DEL,Delhi NCR,2024-01-01,
26,STR00026,MUM,Mumbai Metro,2024-01-01,
27,STR00027,AHM,Ahmedabad Metro,2024-01-01,
28,STR00028,HYD,Hyderabad Metro,2024-01-01,
29,STR00029,PUN,Pune Metro,2024-01-01,
30,STR00030,KOL,Kolkata Metro,2024-01-01,
31,STR00031,DEL,Delhi NCR,2024-03-07,
32,STR00032,DEL,Delhi NCR,2024-01-01,
33,STR00033,BLR,Bengaluru Metro,2024-11-03,
34,STR00034,PUN,Pune Metro,2024-01-01,
35,STR00035,KOL,Kolkata Metro,2024-01-01,
36,STR00036,BLR,Bengaluru Metro,2024-01-01,
37,STR00037,PUN,Pune Metro,2024-01-01,
38,STR00038,PUN,Pune Metro,2024-01-01,2024-12-02
39,STR00038,AHM,Ahmedabad Metro,2024-12-03,
40,STR00039,BLR,Bengaluru Metro,2024-01-01,2025-06-09
41,STR00039,CHN,Chennai Metro,2025-06-10,
42,STR00040,KOL,Kolkata Metro,2024-01-01,
43,STR00041,CHN,Chennai Metro,2024-01-01,
44,STR00042,PUN,Pune Metro,2024-01-01,
45,STR00043,KOL,Kolkata Metro,2024-01-01,
46,STR00044,BLR,Bengaluru Metro,2024-01-01,
47,STR00045,DEL,Delhi NCR,2024-01-01,
48,STR00046,AHM,Ahmedabad Metro,2024-01-01,
49,STR00047,CHN,Chennai Metro,2024-01-01,
50,STR00048,KOL,Kolkata Metro,2024-01-01,
51,STR00049,MUM,Mumbai Metro,2024-01-01,
52,STR00050,KOL,Kolkata Metro,2024-01-01,
53,STR00051,CHN,Chennai Metro,2024-01-01,
54,STR00052,HYD,Hyderabad Metro,2024-01-01,
55,STR00053,BLR,Bengaluru Metro,2024-01-01,
56,STR00054,DEL,Delhi NCR,2024-01-01,
57,STR00055,BLR,Bengaluru Metro,2024-01-01,
58,STR00056,HYD,Hyderabad Metro,2024-01-01,
59,STR00057,DEL,Delhi NCR,2024-01-01,
60,STR00058,PUN,Pune Metro,2024-01-01,
61,STR00059,BLR,Bengaluru Metro,2024-01-01,
62,STR00060,MUM,Mumbai Metro,2024-01-01,
63,STR00061,AHM,Ahmedabad Metro,2024-01-01,
